price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price13,price14,price15,price16,price17,price18,price19,price20,price21,price22,price23,price24,price25,price26,price27,price28,price29,price30,low_media,low_media_iter2,low_media_iter3,low_delta,high_media,high_media_iter2,high_media_iter3,high_delta,subida_exa,subida_exa_index
32688.42,32715.62,32719.77,32736.77,32764.32,32844.14,32810.52,32775.99,32844.52,32989,32999.62,33064.33,33100,33132.77,33026.07,33010.33,33038.19,33067.21,33171.29,33103.25,33098.4,33082.13,33060.78,33051.63,32975.14,32970.47,33022.78,33040.16,33055.31,33014.07,32140.4,32229.1,32291.6,32158.2,32796.6,32782.3,32776.7,32588.3,1,5
33833.86,33935.88,33936.83,33969.99,33986.13,33953.98,34006.67,34052.95,33997.04,34048.95,34020.16,33990.51,33988.8,34006.87,34006.53,34061.69,34098.68,34116.39,34100.01,34103.74,34098.98,34007.77,33942.84,33921.04,33800.39,33837.99,33857.5,33904.05,33915.35,33908.62,33539,33624,33674.1,33453.9,33953.1,33899.5,33878.8,33944.5,1,3
34114.02,34137.47,34175.48,34166.6,34192.65,34142.58,34159,34248.18,34370.22,34441.98,34460,34497.35,34537.56,34584.92,34549.81,34586.26,34595.8,34556.45,34517.15,34577.22,34658.45,34674.01,34800,35150,35091.58,35190.25,35414.05,35703.08,35507.83,35530.37,33628.3,33669,33697,33521.4,34212,34206.8,34204,34002.3,1,7
34378.35,34429.99,34648.79,34695.73,34829.36,34858.6,34861.41,34872.63,34894.63,34919,34876.84,34884.61,34864.97,34958.43,34981.79,35084.24,35106.69,35122.56,35070.9,34957.92,34834.61,34765.99,34797.64,34829.66,34795.31,34848.73,34814.08,34782.53,34685.44,34750,34065.4,34197.4,34262.8,33896.6,34617.2,34510.1,34441.7,34479.5,1,2
34923.89,34926.75,35019.8,35002.62,34981.8,34997.02,34934.65,34931.28,34889.51,34953.27,34979.7,34997.46,34982.34,35045.31,34979.92,34940.6,34966.12,34962.67,34905.05,34946.64,34878.92,34866.37,34850,34861.89,34923.7,34869.46,34857.08,34865.54,34898.52,35013.87,34300.6,34361.7,34408.9,34289.2,35002.9,34983.5,34971.1,34827.9,1,2
35142.56,35206.98,35281.73,35426.32,35499.99,35487.02,35445.28,35521.7,35482.27,35553.79,35575.91,35540.37,35507.19,35556.26,35615.78,35521.84,35543.25,35465.77,35503.49,35526.64,35596.07,35617.04,35633.65,35632.49,35585.08,35643,35617.89,35641.34,35621.52,35689.3,34657.8,34766.4,34830.4,34766.9,35276.8,35240.2,35223.9,35214.8,1,2
36044.36,35924.7,35790.06,35819.23,35954.15,35916.69,35961.33,35905.81,35919.96,36081.19,36235.7,36381.29,36349.99,36292.02,36323.08,36310.81,36161.96,36160.36,36200,36024.99,35931.84,35856.9,36037.26,36098.59,36100,36084.12,36135.16,36127.69,36006.75,35986.67,34824.1,35282.8,35589.3,35064.7,36355.1,36237.8,36174.5,35614.1,1,11
36295.24,36267.79,36283.58,36355.13,36314,36332.54,36322.53,36273.49,36258.74,36387.44,36418.9,36608.46,36725,36713.41,36639.56,36598.17,36642.4,36731.45,36791.16,36800.1,36896.47,36919.99,36888.19,36733.26,36721.65,36783.32,36833.87,36817.22,36769.36,36880,35631,35815.3,35952.3,35705.9,36486.2,36407.9,36348.6,36282.1,1,11
39075.38,39078.13,39153.84,39147.76,39010.26,39116.75,39200,39350,39362.59,39500,39276.48,39250.01,39166.6,39056.47,39273.77,39346.97,39131.92,39202.12,39169.17,39067.63,39121.25,39176.75,39228.54,39256.66,39220.33,39304.42,39260.75,39254.43,39169.6,39172.36,38245.3,38357.8,38433.6,38118.1,39157,39121.9,39104.9,38588.4,1,7
39750,39759.98,39760.88,39805.89,39755.57,39774.03,39847.02,39899.99,39966,39982.85,39967.29,39940.68,39999.14,40200.21,40260.01,40287.61,40100,39716.49,39380.07,39461.36,39144.04,38558.73,38800,39094.67,39156.12,39476.93,39381.96,39280.61,39071.32,39121.01,39293.6,39455,39556.6,39539.5,39977.4,39874.3,39829.3,40018.2,1,9
