price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price13,price14,price15,price16,price17,price18,price19,price20,price21,price22,price23,price24,price25,price26,price27,price28,price29,price30,low_media,low_media_iter2,low_media_iter3,low_delta,high_media,high_media_iter2,high_media_iter3,high_delta,subida_exa,subida_exa_index
26545.52,26516.15,26532.76,26490.34,26494.44,26454.59,26447.79,26396.14,26424.79,26354.34,26363.15,26405.74,26403.65,26460.82,26488.59,26468.59,26424.61,26408.89,26389.91,26336.13,26395.82,26366.12,26371.92,26354.19,26339.27,26342.05,26307.75,26308.05,26322.81,26292.68,26509,26539.7,26556.6,26404.7,26708,26645.2,26618,26636,1,0
26451.59,26407.64,26420.39,26380.27,26331.47,26310.71,26310.2,26293.05,26293.94,26327.94,26267.52,26270.46,26285.72,26279.72,26336.4,26316.85,26315,26296.51,26311.15,26365.19,26383.45,26351.57,26376.31,26344.5,26355.74,26388.74,26432,26425.22,26429.75,26426.03,26223,26325.2,26385.3,26174.7,26673.7,26573.4,26509.6,26409.9,1,3
26638.14,26639.55,26630.45,26626.46,26635.15,26670.59,26720,26735.09,26709.46,26689.69,26692.41,26659.88,26676.37,26666.21,26695.48,26697.29,26700.03,26690.09,26650,26666.76,26630.19,26623.52,26642.28,26641.68,26634.63,26627.35,26637.98,26630,26591.29,26621.9,26560.2,26609.1,26632.3,26480.9,26757,26722.9,26701.7,26707.5,1,2
26595.72,26571.89,26626.75,26658.77,26686.79,26671.49,26683.56,26705.1,26718.48,26709.73,26723.82,26706.39,26710.02,26703.15,26712.39,26709.81,26724.99,26749.99,26741.91,26736.26,26761.51,26757.57,26770.31,26801.09,26800.69,26801.36,26791.99,26790.03,26791.45,26789.44,26580.3,26601.6,26611.4,26542.5,26835,26787.2,26755.2,26770.4,1,0
27601,27574.04,27533.89,27500,27535.52,27567.66,27546.21,27550.16,27547.4,27550.17,27559.52,27542.22,27555.35,27554.52,27550.25,27579.42,27605.6,27616.04,27635.95,27640.17,27685.07,27683.34,27693.13,27688.72,27655.01,27687.13,27701.68,27771.4,27779.12,27768.9,27569.1,27627.2,27635.7,27495.1,27793.5,27716.7,27687.9,27731.5,1,0
27760.96,27727.06,27735.07,27694.16,27671.77,27703.27,27768.01,27788.09,27890.14,27876.96,27883.82,27880.57,27859.5,27849.78,27906.7,27897.74,27934.49,27891.95,27920,27926.42,27920,27906.6,27891.6,27923.8,27918.33,27992.07,27985.64,28000,27999.14,28098.86,27547.3,27643,27703.2,27559.3,27943.1,27884.6,27844.3,27797.4,1,3
27954.73,27945.01,27958.08,27969.04,27944.63,27904.74,27898.92,27905.74,27905.29,27896.83,27899.73,27890.49,27914.72,27934.69,27941,27929.57,27882.69,27865.49,27846.7,27893.07,27861.52,27899.14,27908.77,27880.33,27925.72,27941.9,27924,27989.5,28065.54,28096.76,27796.6,27888.6,27914.9,28008.8,28287.4,28232.4,28171.5,28263.1,1,5
27941.39,27871.98,27877.03,27840.68,27872.34,27855.46,27868.6,27865.55,27912.42,27954.03,27991.63,27985.84,27976.88,27959.33,27961.09,27964.55,27952.85,27932.06,27959.25,27933.49,27914.94,27930.23,27945.3,27933.85,27908.71,27915.98,27914.13,27903.15,27886.01,27929.21,27834.1,27872.4,27895.4,27762.7,28219.4,28120.2,28057,28039,1,1
28104.43,28069.8,28038.26,27990.75,27972.3,27950,27980.26,27987.74,28016.03,28051.74,28001.26,28040.3,28047.57,28046.92,28107,28066.71,28062.59,28074.83,28073.69,28076.6,28090.19,28106.96,28131.98,28173.39,28187.21,28187.4,28179.46,28250,28262.21,28325.79,27931.1,27982.6,28005,27828.5,28287.1,28219.2,28166.7,28102.5,1,3
28302.61,28300,28319.98,28324.54,28343.51,28365.99,28389.77,28402.56,28397.18,28380.04,28374.16,28386.44,28376.94,28390,28416.24,28376.42,28330.58,28352.98,28348.81,28323.55,28341.37,28331,28304.7,28330.35,28349.18,28334.95,28389.99,28400,28386.62,28384.3,28241.5,28303.5,28334.3,28336.5,28562.9,28481.7,28430.2,28631.6,1,0
